Date,Time,Amount,Price,<Unknown>
2018.08.07,11:35:54,-0.5,7088.5,276685658
2018.08.07,11:35:54,-2,7088.5,276685659
2018.08.07,11:35:54,-0.5,7088.5,276685660
2018.08.07,11:35:58,-0.005,7088.5,276685675
2018.08.07,11:36:00,0.02,7088.6,276685701
2018.08.07,11:36:00,0.03144907,7088.6,276685702
2018.08.07,11:36:00,0.02572438,7088.6,276685703
2018.08.07,11:36:08,-0.2,7088.5,276685731
2018.08.07,11:36:09,-0.005,7088.5,276685735
2018.08.07,11:36:11,0.01791,7088.6,276685741
2018.08.07,11:36:20,0.015,7088.6,276685754
2018.08.07,11:36:20,0.05145328,7088.6,276685763
2018.08.07,11:36:41,0.02,7089.2,276685860
2018.08.07,11:36:41,0.03659259,7089.4,276685861
2018.08.07,11:36:42,0.02,7089.2,276685872
2018.08.07,11:36:42,0.00568829,7089.2,276685873
2018.08.07,11:36:42,0.05131876,7089.2,276685874
2018.08.07,11:36:53,0.00314146,7090.6,276685955
2018.08.07,11:36:53,0.00284255,7090.6,276685957
2018.08.07,11:37:04,0.11350976,7092.2,276686012
2018.08.07,11:37:04,0.0567265,7092.2,276686017
2018.08.07,11:37:05,0.07,7092.8,276686026
2018.08.07,11:37:10,0.11385526,7092.8,276686069
2018.08.07,11:37:15,0.05692327,7092.8,276686096
2018.08.07,11:37:27,-1.61553633,7092.7,276686130
2018.08.07,11:37:27,-0.38446367,7092.7,276686131
2018.08.07,11:37:38,0.05448501,7092.8,276686167
2018.08.07,11:37:38,0.03763235,7092.8,276686168
2018.08.07,11:37:38,0.04483908,7092.8,276686169
2018.08.07,11:37:38,0.09095918,7092.8,276686171
2018.08.07,11:37:51,-0.01968726,7096.4,276686227
2018.08.07,11:37:51,-0.00073395,7096.4,276686228
2018.08.07,11:38:08,-0.005,7096.5,276686299
2018.08.07,11:38:14,0.07399,7096.43782415,276686335
2018.08.07,11:38:14,0.26872595,7096.5,276686336
2018.08.07,11:38:26,0.26349459,7096.5,276686376
2018.08.07,11:38:26,0.6606,7096.5,276686377
2018.08.07,11:38:26,0.25753411,7096.5,276686378
2018.08.07,11:38:55,-0.00454016,7098.1,276686435
2018.08.07,11:39:05,0.05,7098.2,276686457
2018.08.07,11:39:15,0.00196937,7098.2,276686524
2018.08.07,11:39:15,0.00575268,7098.3,276686525
2018.08.07,11:39:15,0.0027045,7098.3,276686526
2018.08.07,11:39:15,0.05990223,7098.52334197,276686528
2018.08.07,11:39:15,0.07025735,7098.52334197,276686530
2018.08.07,11:39:15,0.14043581,7098.52334197,276686541
2018.08.07,11:39:15,0.07940461,7098.52334197,276686544
2018.08.07,11:39:15,0.37769895,7099.9,276686545
2018.08.07,11:39:16,0.0490474,7099.8,276686589
2018.08.07,11:39:16,0.12174291,7099.9,276686590
2018.08.07,11:39:16,0.004,7099.9,276686591
2018.08.07,11:39:16,0.19164495,7100,276686592
2018.08.07,11:39:16,0.15,7100,276686593
2018.08.07,11:39:16,0.00733951,7100,276686622
2018.08.07,11:39:16,0.05234983,7100,276686646
2018.08.07,11:39:16,0.12296896,7100,276686653
2018.08.07,11:39:16,0.02361866,7100,276686660
2018.08.07,11:39:16,0.02628774,7100,276686662
2018.08.07,11:39:17,0.07579411,7100,276686667
2018.08.07,11:39:17,0.02248349,7100,276686670
2018.08.07,11:39:17,0.09377378,7100,276686672
2018.08.07,11:39:17,0.06915617,7100,276686673
2018.08.07,11:39:17,0.01790586,7100,276686696
2018.08.07,11:39:17,0.14667694,7100,276686713
2018.08.07,11:39:17,0.03,7100,276686714
2018.08.07,11:39:17,0.01082414,7100,276686715
2018.08.07,11:39:18,0.28922068,7100,276686729
2018.08.07,11:39:20,0.06955284,7100,276686778
2018.08.07,11:39:20,0.06955284,7100,276686781
2018.08.07,11:39:23,0.0608495,7100,276686805
2018.08.07,11:39:23,0.1391505,7100,276686806
2018.08.07,11:39:24,0.0430495,7100,276686808
2018.08.07,11:39:24,0.04779907,7100,276686809
2018.08.07,11:39:24,0.02248867,7101.9,276686810
2018.08.07,11:39:24,-0.18666276,7101.9,276686815
2018.08.07,11:39:24,-0.18666276,7101.9,276686817
2018.08.07,11:39:24,-0.18666276,7101.9,276686818
2018.08.07,11:39:25,-0.050707,7101.9,276686838
2018.08.07,11:39:26,-0.3755038,7101.9,276686849
2018.08.07,11:39:26,-0.24,7101.9,276686861
2018.08.07,11:39:28,0.07227142,7102,276686877
2018.08.07,11:39:29,0.07011568,7102,276686907
2018.08.07,11:39:29,0.07018918,7102,276686912
2018.08.07,11:39:29,0.14015974,7102,276686913
2018.08.07,11:39:29,0.07010437,7102,276686922
2018.08.07,11:39:29,0.06976891,7102,276686938
2018.08.07,11:39:29,0.13953781,7102,276686939
2018.08.07,11:39:29,0.06976891,7102,276686942
2018.08.07,11:39:29,0.06976891,7102,276686944
2018.08.07,11:39:29,0.0357722,7102,276686999
2018.08.07,11:39:31,1.19254287,7102,276687125
2018.08.07,11:39:31,0.21945713,7102,276687126
2018.08.07,11:39:34,0.012,7102,276687170
2018.08.07,11:39:34,-0.76,7101.9,276687171
2018.08.07,11:39:34,-0.61706248,7101.9,276687172
