Date,Time,Open,High,Low,Close,Volume
2018.02.06,16:45,7539.2,7585,7642.8,7524.7,804.42899449
2018.02.06,17:00,7585,7690.1,7745,7508,1781.99702006
2018.02.06,17:15,7690.1,7689.9,7710,7640,657.09808607
2018.02.06,17:30,7689.9,7616.3,7690,7579.6,920.98442109
2018.02.06,17:45,7616.3,7599,7625,7520.4,531.71839359
2018.02.06,18:00,7599,7655.4,7739,7592,1146.9956457
2018.02.06,18:15,7657.3,7500,7682.6,7487,904.18238453
2018.02.06,18:30,7500,7386.5,7536,7375,1186.75165732
2018.02.06,18:45,7385.5,7350,7428.8,7305.7,1355.00834971
2018.02.06,19:00,7350,7320.8,7396,7260.7,1654.59558344
2018.02.06,19:15,7320.8,7340.1,7388,7270.1,1346.28520371
2018.02.06,19:30,7343.9,7225.39234091,7423.5,7200.1,1004.20808484
2018.02.06,19:45,7229.5,7251.5,7284.1,7205.1,634.30952521
2018.02.06,20:00,7251.5,7217.3,7256.2,7175.1,533.27133015
2018.02.06,20:15,7220,7305.7,7349,7208.7,735.645783
2018.02.06,20:30,7306.8,7448.4,7450,7296,882.69208178
2018.02.06,20:45,7448.4,7479.9,7540,7446,940.59063543
2018.02.06,21:00,7479.9,7460,7504.3,7401,678.7066188
2018.02.06,21:15,7455.8,7539.7,7559,7443.1,718.41508609
2018.02.06,21:30,7539.8,7367,7550.3,7304,997.68653201
2018.02.06,21:45,7367,7440,7461,7350.1,600.12534566
2018.02.06,22:00,7440.9,7270.2,7450,7270.1,580.11083452
2018.02.06,22:15,7277,7327.3,7369.3,7269.1,527.00292197
2018.02.06,22:30,7327.2,7419.9,7446.5,7283.3,389.392734
2018.02.06,22:45,7419.9,7487.9,7487.9,7372.4,291.36374742
2018.02.06,23:00,7487.3,7427,7494.1,7394,461.0576916
2018.02.06,23:15,7427,7403.6,7445,7345,497.3686649
2018.02.06,23:30,7404.1,7665.7,7700,7400.1,1190.16741405
2018.02.06,23:45,7666.1,7700,7742.5,7620.61953778,1612.52135867
2018.02.07,00:00,7699.9,7700,7700,7624.2,1712.69431837
2018.02.07,00:15,7700,7739.9,7750,7691,1750.00535879
2018.02.07,00:30,7740,7579.7,7740,7579.4,1249.78286143
2018.02.07,00:45,7579.8,7634.9,7650,7579.7,593.43324828
2018.02.07,01:00,7635,7812.5,7828,7635,2951.31764727
